# X Y Ux Uy Magnitude
720.186 417.823 0.715573 -0.147791 0.730676
709.66 419.612 0.705126 -0.147338 0.720355
699 420.21 0.694619 -0.146346 0.709868
688.34 419.612 0.684196 -0.144938 0.699379
677.814 417.823 0.673999 -0.143263 0.689057
667.554 414.867 0.66414 -0.141525 0.679052
657.69 410.782 0.654767 -0.139794 0.669524
648.345 405.617 0.64596 -0.138104 0.660558
639.637 399.438 0.63779 -0.136403 0.652213
631.676 392.324 0.630322 -0.134633 0.64454
624.562 384.363 0.623584 -0.132694 0.637545
618.383 375.655 0.617631 -0.130536 0.631275
613.218 366.31 0.612541 -0.128131 0.625799
609.133 356.446 0.60825 -0.125507 0.621063
606.177 346.186 0.604871 -0.122705 0.617192
604.388 335.66 0.602505 -0.119776 0.614295
603.79 325 0.601265 -0.116772 0.612499
604.388 314.34 0.601256 -0.113731 0.611918
606.177 303.814 0.602547 -0.110667 0.612625
609.133 293.554 0.60518 -0.107562 0.614664
613.218 283.69 0.609123 -0.104398 0.618005
618.383 274.345 0.614267 -0.10121 0.622549
624.562 265.637 0.620495 -0.0980688 0.628197
631.676 257.676 0.627618 -0.0951125 0.634784
639.637 250.562 0.635434 -0.0924714 0.642127
648.345 244.383 0.643728 -0.0903188 0.650033
657.69 239.218 0.652403 -0.0887896 0.658418
667.554 235.133 0.661506 -0.087959 0.667328
677.814 232.177 0.671171 -0.0878523 0.676896
688.34 230.388 0.681355 -0.0884784 0.687076
699 229.79 0.691857 -0.0897163 0.69765
709.66 230.388 0.702435 -0.0913223 0.708346
720.186 232.177 0.712928 -0.0931157 0.718983
730.446 235.133 0.723201 -0.0949761 0.729411
740.31 239.218 0.733145 -0.0968849 0.739519
749.655 244.383 0.742645 -0.0988708 0.749197
758.363 250.562 0.751565 -0.100957 0.758316
